Trial_ID,Title,Has_Outcome_Data,Primary_Outcome_Count,Secondary_Outcome_Count,Primary_Outcomes,Secondary_Outcomes,CBR,CR,DFS,DMFS,DoR,EFS,LRFS,ORR,OS,PFS,PR,QOL,RR,TOX,TTF,TTP
NCT02477826,"An Investigational Immuno-therapy Trial of Nivolumab, or Nivolumab Plus Ipilimumab, or Nivolumab Plu",True,2,2,Progression-Free Survival Per BICR (MEDIAN) months = 5.06 [4.07-6.31]; Overall Survival (MEDIAN) months = 17.12 [14.95-20.17],Objective Response Rate (ORR) Per BICR (NUMBER) percentage of participants = 36.4 [31.6-41.3]; Percentage of Participants With Symptom Deterioration at Week 12 Assessed Via Lung Cancer Symptom Scale (NUMBER) percentage of participants = 31.3 [26.8-36.1],,,,,,,,Objective Response Rate (ORR) Per BICR (NUMBER) percentage of participants = 36.4 [31.6-41.3],Overall Survival (MEDIAN) months = 17.12 [14.95-20.17],Progression-Free Survival Per BICR (MEDIAN) months = 5.06 [4.07-6.31],,,Objective Response Rate (ORR) Per BICR (NUMBER) percentage of participants = 36.4 [31.6-41.3],,,
NCT02486718,Study to Assess Safety and Efficacy of Atezolizumab (MPDL3280A) Compared to Best Supportive Care Fol,True,3,12,Disease-Free Survival (DFS) in Intent-to-treat (ITT) Population (MEDIAN) months = 65.6; DFS in All Randomized Stage II-IIIA Population (MEDIAN) months = 57.4; DFS in the Programmed Death-ligand 1 (PD-L1) SP263 ≥ 1% Tumor Cell (TC) Subpopulation Within the Stage II-IIIA Population (MEDIAN) months = 68.5,; Disease-free Rate at Year 3 in ITT Population (NUMBER) percentage of participants = 61.43 [57.09-65.77]; Disease-free Rate at Year 3 in All Randomized Stage II-IIIA Population (NUMBER) percentage of participants = 59.30 [54.61-63.98]; Disease-free Rate at Year 3 in PD-L1 (SP263 ≥ 1% TC) Subpopulation Within the Stage II-IIIA Population (NUMBER) percentage of participants = 62.72 [56.54-68.90]; Disease-free Rate at Year 5 in ITT Population (NUMBER) percentage of participants = 51.96 [47.45-56.46]; Disease-free Rate at Year 5 in All Randomized Stage II-IIIA Population (NUMBER) percentage of participants = 49.28 [44.47-54.10]; Disease-free Rate at Year 5 in PD-L1 (SP263 ≥ 1% TC) Subpopulation Within the Stage II-IIIA Population (NUMBER) percentage of participants = 53.15 [46.69-59.61]; ; ; Percentage of Participants With Anti-Therapeutic Antibodies (ATAs) to Atezolizumab (NUMBER) percentage of participants = 31.2; Maximum Plasma Concentration (Cmax) of Atezolizumab (GEOMETRIC_MEAN) micrograms/millilitres (μg/ml) = 367; Minimum Serum Concentration (Cmin) at Steady-State Within a Dosing Interval of Atezolizumab (GEOMETRIC_MEAN) μg/ml = 367,,,Disease-Free Survival (DFS) in Intent-to-treat (ITT) Population (MEDIAN) months = 65.6; DFS in All Randomized Stage II-IIIA Population (MEDIAN) months = 57.4; DFS in the Programmed Death-ligand 1 (PD-L1) SP263 ≥ 1% Tumor Cell (TC) Subpopulation Within the Stage II-IIIA Population (MEDIAN) months = 68.5,,,,,,,,,,,,,
NCT02498613,A Phase 2 Study of Cediranib in Combination With Olaparib in Advanced Solid Tumors,True,1,2,Objective Response Rate (NUMBER) proportion of participants = 0.08 [0.01-0.15],Incidence of Adverse Events (NUMBER) Adverse Events = 60; Progression-free Survival (MEDIAN) months = 3.8 [0.1-13.3],,,,,,,,Objective Response Rate (NUMBER) proportion of participants = 0.08 [0.01-0.15],,Progression-free Survival (MEDIAN) months = 3.8 [0.1-13.3],,,Objective Response Rate (NUMBER) proportion of participants = 0.08 [0.01-0.15],Incidence of Adverse Events (NUMBER) Adverse Events = 60,,
NCT02504372,Study of Pembrolizumab (MK-3475) vs Placebo for Participants With Non-small Cell Lung Cancer After R,True,2,7,Disease-Free Survival (DFS) (MEDIAN) Months = 53.8 [46.2-67.0]; DFS in Programmed Death Ligand-1 (PDL-1) Strong Positive Participants With Tumor Proportion Score (TPS) ≥50% (MEDIAN) Months = 67.0,DFS in PDL-1 Strong Positive Participants With TPS ≥1% (MEDIAN) Months = 58.7 [46.2-76.7]; ; ; ; ; Number of Participants Who Experienced an Adverse Event (AE) (COUNT_OF_PARTICIPANTS) Participants = 556; Number of Participants Who Discontinued Study Treatment Due to an AE (COUNT_OF_PARTICIPANTS) Participants = 116,,,Disease-Free Survival (DFS) (MEDIAN) Months = 53.8 [46.2-67.0]; DFS in Programmed Death Ligand-1 (PDL-1) Strong Positive Participants With Tumor Proportion Score (TPS) ≥50% (MEDIAN) Months = 67.0; DFS in PDL-1 Strong Positive Participants With TPS ≥1% (MEDIAN) Months = 58.7 [46.2-76.7],,,,,,,,,,,Number of Participants Who Discontinued Study Treatment Due to an AE (COUNT_OF_PARTICIPANTS) Participants = 116,,
NCT02511106,"AZD9291 Versus Placebo in Patients With Stage IB-IIIA Non-small Cell Lung Carcinoma, Following Compl",True,2,10,Assess the Efficacy of AZD9291 Compared to Placebo as Measured by Disease Free Survival (DFS). (MEDIAN) Months = 65.8; Assess the Efficacy of AZD9291 Compared to Placebo as Measured by Disease Free Survival (DFS). (MEDIAN) Months = 65.8,"Disease Free Survival (DFS) Rate at 2, 3 and 5 Years (NUMBER) Percentage of participants = 90.0 [85.2-93.3]; Disease Free Survival (DFS) Rate at 2, 3 and 5 Years (NUMBER) Percentage of participants = 90.1 [86.2-92.9]; ; ; Overall Survival Rate at 2, 3 and 5 Years (NUMBER) Percentage of participants = 99.5 [96.8-99.9]; Overall Survival Rate at 2, 3 and 5 Years (NUMBER) Percentage of participants = 99.4 [97.5-99.8]; Patient Health-related Quality of Life and Symptoms (HRQoL) by SF-36v2 Health Survey. (MEAN) Unit on a scale = 1.026; Plasma Concentrations of AZD9291 (GEOMETRIC_MEAN) nM = 380.2563; Plasma Concentrations of AZ5104 Metabolites (GEOMETRIC_MEAN) nM = 44.4619; Plasma Concentrations of AZ7550 Metabolites (GEOMETRIC_MEAN) nM = 44.3492",,,"Assess the Efficacy of AZD9291 Compared to Placebo as Measured by Disease Free Survival (DFS). (MEDIAN) Months = 65.8; Assess the Efficacy of AZD9291 Compared to Placebo as Measured by Disease Free Survival (DFS). (MEDIAN) Months = 65.8; Disease Free Survival (DFS) Rate at 2, 3 and 5 Years (NUMBER) Percentage of participants = 90.0 [85.2-93.3]; Disease Free Survival (DFS) Rate at 2, 3 and 5 Years (NUMBER) Percentage of participants = 90.1 [86.2-92.9]",,,,,,"Overall Survival Rate at 2, 3 and 5 Years (NUMBER) Percentage of participants = 99.5 [96.8-99.9]; Overall Survival Rate at 2, 3 and 5 Years (NUMBER) Percentage of participants = 99.4 [97.5-99.8]",,,Patient Health-related Quality of Life and Symptoms (HRQoL) by SF-36v2 Health Survey. (MEAN) Unit on a scale = 1.026,,,,
NCT02535338,Erlotinib Hydrochloride and Onalespib Lactate in Treating Patients With Recurrent or Metastatic EGFR,True,3,3,Number of Participants With at Least One Dose Limiting Toxicity (DLT) (NUMBER) participants = 2; Recommended Phase II Dose (NUMBER) mg/m2 = 120; Number of Participants With Dose Limiting Toxicities. (COUNT_OF_PARTICIPANTS) Participants = 2,Number of Subject With Overall Response (COUNT_OF_PARTICIPANTS) Participants = 0; ; Number of Subject With Overall Response (Recommended Phase II Dose) (COUNT_OF_PARTICIPANTS) Participants = 0,,,,,,,,,,,,,,Number of Participants With at Least One Dose Limiting Toxicity (DLT) (NUMBER) participants = 2,,
NCT02542293,Study of Durvalumab With Tremelimumab Versus SoC as 1st Line Therapy in Metastatic Non Small-Cell Lu,True,2,18,Overall Survival (OS); Global Cohort: Blood Tumor Mutational Burden (bTMB) ≥20 Mutations Per Megabase (Mut/Mb) Analysis Set (MEDIAN) months = 11.7 [8.6-15.2]; OS; China Cohort: China Programmed Cell Death Ligand 1 (PD-L1) Negative NSCLC Analysis Set (MEDIAN) months = 15.0 [10.5-27.4],"OS; Global Cohort: bTMB ≥16 Mut/Mb, bTMB ≥12 Mut/Mb, PD-L1-Negative NSCLC, bTMB <20 Mut/Mb, bTMB Non-Evaluable Population, tTMB ≥14 Mut/Mb, tTMB ≥12 Mut/Mb, tTMB ≥10 Mut/Mb, and tTMB ≥8 Mut/Mb Analysis Sets (MEDIAN) months = 12.1 [8.6-15.0]; OS; Global and China Cohorts: FAS, PD-L1 Tumor Cell (TC) ≥25%, and PD-L1 TC ≥50% Analysis Sets (MEDIAN) months = 10.9 [9.3-12.6]; Progression-Free Survival (PFS); Global Cohort: bTMB ≥20 Mut/Mb, bTMB ≥16 Mut/Mb, bTMB ≥12 Mut/Mb, tTMB ≥14 Mut/Mb, tTMB ≥12 Mut/Mb, tTMB ≥10 Mut/Mb, and tTMB ≥8 Mut/Mb Analysis Sets (MEDIAN) months = 4.2 [2.7-5.6]; PFS; Global and China Cohorts: PD-L1-Negative NSCLC, FAS, PD-L1 TC ≥25%, and PD-L1 TC ≥50% Analysis Sets (MEDIAN) months = 4.1 [2.8-5.2]; Objective Response Rate (ORR); Global Cohort: bTMB ≥20 Mut/Mb, bTMB ≥16 Mut/Mb, bTMB ≥12 Mut/Mb, tTMB ≥14 Mut/Mb, tTMB ≥12 Mut/Mb, tTMB ≥10 Mut/Mb, and tTMB ≥8 Mut/Mb Analysis Sets (NUMBER) percentage of participants = 27.5; ORR; Global and China Cohorts: PD-L1-Negative NSCLC, FAS, PD-L1 TC ≥25%, and PD-L1 TC ≥50% Analysis Sets (NUMBER) percentage of participants = 23.1; Duration of Response (DoR); Global Cohort: bTMB ≥20 Mut/Mb, bTMB ≥16 Mut/Mb, and bTMB ≥12 Mut/Mb Analysis Sets (MEDIAN) months = 11.6 [6.7-21.5]; DoR; Global and China Cohorts: PD-L1-Negative NSCLC and FAS Analysis Sets (MEDIAN) months = 10.2 [2.8-18.8]; Alive and Progression-Free at 12 Months (APF12); Global Cohort: bTMB ≥20 Mut/Mb, bTMB ≥16 Mut/Mb, and bTMB ≥12 Mut/Mb Analysis Sets (NUMBER) percentage of participants = 25.6 [15.7-36.6]; APF12; Global and China Cohorts: PD-L1-Negative NSCLC and FAS Analysis Sets (NUMBER) percentage of participants = 18.2 [10.9-26.9]; Time From Randomization to Second Progression or Death (PFS2); Global Cohort: bTMB ≥20 Mut/Mb, bTMB ≥16 Mut/Mb, and bTMB ≥12 Mut/Mb Analysis Sets (MEDIAN) months = 10.6 [8.5-14.4]; PFS2; Global and China Cohorts: PD-L1-Negative NSCLC and FAS Analysis Sets (MEDIAN) months = 9.1 [6.9-12.8]; OS at Months 12, 18 and 24; Global Cohort: bTMB ≥20 Mut/Mb, bTMB ≥16 Mut/Mb, and bTMB ≥12 Mut/Mb Analysis Sets (NUMBER) percentage of participants = 49.3 [37.1-60.4]; OS at Months 12, 18 and 24; Global and China Cohorts: PD-L1-Negative NSCLC and FAS Analysis Sets (NUMBER) percentage of participants = 47.8 [37.2-57.6]; ; ; Number of Participants With Anti-Drug Antibody (ADA) Response to Durvalumab (COUNT_OF_PARTICIPANTS) Participants = 26; Number of Participants With ADA Response to Tremelimumab (COUNT_OF_PARTICIPANTS) Participants = 49",,,,,"Duration of Response (DoR); Global Cohort: bTMB ≥20 Mut/Mb, bTMB ≥16 Mut/Mb, and bTMB ≥12 Mut/Mb Analysis Sets (MEDIAN) months = 11.6 [6.7-21.5]",,,"Objective Response Rate (ORR); Global Cohort: bTMB ≥20 Mut/Mb, bTMB ≥16 Mut/Mb, bTMB ≥12 Mut/Mb, tTMB ≥14 Mut/Mb, tTMB ≥12 Mut/Mb, tTMB ≥10 Mut/Mb, and tTMB ≥8 Mut/Mb Analysis Sets (NUMBER) percentage of participants = 27.5","Overall Survival (OS); Global Cohort: Blood Tumor Mutational Burden (bTMB) ≥20 Mutations Per Megabase (Mut/Mb) Analysis Set (MEDIAN) months = 11.7 [8.6-15.2]; OS at Months 12, 18 and 24; Global Cohort: bTMB ≥20 Mut/Mb, bTMB ≥16 Mut/Mb, and bTMB ≥12 Mut/Mb Analysis Sets (NUMBER) percentage of participants = 49.3 [37.1-60.4]; OS at Months 12, 18 and 24; Global and China Cohorts: PD-L1-Negative NSCLC and FAS Analysis Sets (NUMBER) percentage of participants = 47.8 [37.2-57.6]","Progression-Free Survival (PFS); Global Cohort: bTMB ≥20 Mut/Mb, bTMB ≥16 Mut/Mb, bTMB ≥12 Mut/Mb, tTMB ≥14 Mut/Mb, tTMB ≥12 Mut/Mb, tTMB ≥10 Mut/Mb, and tTMB ≥8 Mut/Mb Analysis Sets (MEDIAN) months = 4.2 [2.7-5.6]",,,"Objective Response Rate (ORR); Global Cohort: bTMB ≥20 Mut/Mb, bTMB ≥16 Mut/Mb, bTMB ≥12 Mut/Mb, tTMB ≥14 Mut/Mb, tTMB ≥12 Mut/Mb, tTMB ≥10 Mut/Mb, and tTMB ≥8 Mut/Mb Analysis Sets (NUMBER) percentage of participants = 27.5",,,
NCT02544633,Phase 2 Study of MGCD265 in Patients With Non-Small Cell Lung Cancer With Activating Genetic Alterat,True,1,16,Objective Response Rate (NUMBER) percentage of participants = 10.7 [2.27-28.23],Duration of Response (MEDIAN) days = 85 [82-132]; Progression Free Survival (MEDIAN) months = 3.95 [2.11-4.18]; 1-Year Survival Rate (NUMBER) percentage = 50.47 [27.49-69.62]; Overall Survival (MEDIAN) months = 16.32; Number of Patients Experiencing Treatment-emergent Adverse Events (COUNT_OF_PARTICIPANTS) Participants = 28; Blood Plasma Concentration of MGCD265 - AUC0-6 (GEOMETRIC_MEAN) h*ng/mL = 250.8; Blood Plasma Concentration of MGCD265 - Cmax (GEOMETRIC_MEAN) ng/mL = 69.77; Blood Plasma Concentration of MGCD265 - Ctrough (GEOMETRIC_MEAN) ng/mL = 264; Blood Plasma Concentration of MGCD265 - Accumulation Ratio AUC0-6 (GEOMETRIC_MEAN) ratio = 6.42; Blood Plasma Concentration of MGCD265 - Accumulation Ratio Cmax (GEOMETRIC_MEAN) ratio = 4.07; Blood Plasma Concentration of MGCD265 - Peak to Trough Ratio (GEOMETRIC_MEAN) ratio = 1.09; Blood Plasma Concentration of MGCD265 - Tmax (MEDIAN) hours = 6.00 [2.00-6.00]; Assess Correlation Between Selected Tumor Gene Alterations Using Different Analytical Techniques in Tumor Tissue and Circulating Tumor Deoxyribonucleic Acid (ctDNA) - MET Activating Mutations (COUNT_OF_PARTICIPANTS) Participants = 9; Assess Correlation Between Selected Tumor Gene Alterations Using Different Analytical Techniques in Tumor Tissue and Circulating Tumor Deoxyribonucleic Acid (ctDNA) - MET Gene Amplifications (COUNT_OF_PARTICIPANTS) Participants = 8; Assess Change in Genetic Alteration Status in ctDNA With MGCD265 Treatment Over Time in the Selected Population (NUMBER) participants = 2; Blood Plasma Concentration of Soluble MET (sMET) Biomarker (MEAN) pg/mL = 443494.7,,,,,Duration of Response (MEDIAN) days = 85 [82-132],,,Objective Response Rate (NUMBER) percentage of participants = 10.7 [2.27-28.23],Overall Survival (MEDIAN) months = 16.32,Progression Free Survival (MEDIAN) months = 3.95 [2.11-4.18],,,Objective Response Rate (NUMBER) percentage of participants = 10.7 [2.27-28.23],Number of Patients Experiencing Treatment-emergent Adverse Events (COUNT_OF_PARTICIPANTS) Participants = 28,,
NCT02572843,Anti-PD-L1 in Stage IIIA(N2) Non-small Cell Lung Cancer (NSCLC),True,1,6,Event-free Survival (EFS) Rate (NUMBER) percentage of participants = 73.4 [62.7-81.5],Median Event-free Survival (EFS) (MEDIAN) years = 4.0; Overall Survival (OS) Rate (NUMBER) percentage of participants = 91.0 [81.0-95.8]; Objective Response (OR) After Neoadjuvant Chemotherapy (FAS) (NUMBER) percentage of participants = 43.3 [31.2-56.0]; Objective Response (OR) After Neoadjuvant Immunotherapy (FAS II) (NUMBER) percentage of participants = 58.1 [44.8-70.5]; Pathological Responses (pCR) (NUMBER) percentage of participants = 18.2 [9.1-30.9]; ,,,,,,Event-free Survival (EFS) Rate (NUMBER) percentage of participants = 73.4 [62.7-81.5]; Median Event-free Survival (EFS) (MEDIAN) years = 4.0,,,Overall Survival (OS) Rate (NUMBER) percentage of participants = 91.0 [81.0-95.8],,,,,,,
NCT02574078,A Study of Nivolumab in Advanced Non-Small Cell Lung Cancer (NSCLC),True,3,4,"Progression-Free Survival (PFS), Groups A-D Only (MEDIAN) Months = 15.0; Overall Survival (OS), Groups A-C Only (MEDIAN) Months = 20.0; Percentage of Participants With Treatment-related Adverse Events (AEs) Leading to Both Study Drugs Discontinuation, Group E Only (NUMBER) Percentage of participants = 38.5","Duration of Response (DOR), Groups A-D Only (MEDIAN) months = 12.780 [4.140-20.435]; Objective Response Rate (ORR), Groups A-E (NUMBER) Percentage of participants = 23.1 [5.0-53.8]; ; Progression-Free Survival (PFS), Group E Only (MEDIAN) months = 9.63 [0.95-20.11]",,,,,"Duration of Response (DOR), Groups A-D Only (MEDIAN) months = 12.780 [4.140-20.435]",,,"Objective Response Rate (ORR), Groups A-E (NUMBER) Percentage of participants = 23.1 [5.0-53.8]","Overall Survival (OS), Groups A-C Only (MEDIAN) Months = 20.0","Progression-Free Survival (PFS), Groups A-D Only (MEDIAN) Months = 15.0; Progression-Free Survival (PFS), Group E Only (MEDIAN) months = 9.63 [0.95-20.11]",,,"Objective Response Rate (ORR), Groups A-E (NUMBER) Percentage of participants = 23.1 [5.0-53.8]","Percentage of Participants With Treatment-related Adverse Events (AEs) Leading to Both Study Drugs Discontinuation, Group E Only (NUMBER) Percentage of participants = 38.5",,
