nct_id,official_title,experimental_drugs,biomarkers,primary_outcomes,efficacy_status,reasoning
NCT01557959,Phase II Study of Sequential Dose-Dense Chemotherapy and Dose-Intense Erlotinib for the Initial Treatment of Advanced Non-Small Cell Lung Cancer,erlotinib hydrochloride,Unselected,"The primary outcome, Time to Progression, had a median of 4.63 months (95% Confidence Interval: 3.68, 6.05 months) in the single treatment arm.",UNCERTAIN,"The trial is a single-arm Phase II study evaluating Time to Progression. The reported primary endpoint is a median Time to Progression with a 95% confidence interval. However, the provided criteria for 'POSITIVE' or 'NEGATIVE' efficacy status (requiring a p-value < 0.05 or CI crossing 1.0/0) are not applicable as no p-value for statistical significance against a null hypothesis or a comparator arm is provided in this single-arm study."
NCT01573702,Phase II Study of Stereotactic Radiosurgery or Other Local Ablation Followed by Erlotinib for Patients With Epidermal Growth Factor Receptor(EGFR) Mutation Who Have Previously Progressed on an Epidermal Growth Factor Receptor-tyrosine Kinase Inhibitor (EGFR-TKI),Erlotinib,EGFR,"The primary endpoint, 3-month Progression Free Survival, was 64% (95% CI: 42.5, 82) in the Stereotactic Radiosurgery Followed by Erlotinib arm.",UNCERTAIN,"The primary endpoint reported a 3-month PFS of 64% with a 95% confidence interval of 42.5% to 82%. However, no p-value or formal statistical significance statement was provided to assess if the primary endpoint met significance according to the given criteria."
NCT01610336,"A Phase IB/II, Open Label, Multicenter Study of INC280 Administered Orally in Combination With Gefitinib in Adult Patients With EGFR Mutated, c-MET-amplified Non-small Cell Lung Cancer Who Have Progressed After EGFR Inhibitor Treatment",INC280; Gefitinib,EGFR; c-MET,The primary efficacy endpoint was Overall Response Rate (ORR) for Phase II. 12 out of 53 participants (22.6%) in the INC280 400 mg Cap BID group and 17 out of 47 participants (36.2%) in the INC280 400 mg Tab BID group achieved an overall response.,UNCERTAIN,"For the primary efficacy endpoint (Phase II ORR), responder counts are provided, but no statistical analysis (e.g., p-value) or comparison to a control group is reported to determine if the endpoint was met with significance."
NCT01620190,A Phase II Study of Weekly Abraxane for Patients With Advanced NSCLC With EGFR Mutations or With Durable Response to an EGFR Tyrosine Kinase Inhibitor Following Front Line Therapy With EGFR Tyrosine Kinase Inhibitors,Paclitaxel Albumin-Stabilized Nanoparticle Formulation,EGFR,"The primary outcome was Overall Response Rate (ORR) defined by RECIST 1.1. In the treatment arm (N=26), 9 participants achieved a Partial Response and 0 achieved a Complete Response, leading to an ORR of 34.6%. The study did not report a p-value or a confidence interval for the overall response rate proportion itself against a predefined threshold or comparison.",UNCERTAIN,"While the overall response rate (34.6%) for the primary endpoint was reported with individual response counts, the trial data did not provide a p-value or a confidence interval for the ORR proportion that would allow for a determination of statistical significance as per the defined criteria (p < 0.05 or CI crossing 0/1)."
NCT01631552,A Phase I/II Study of IMMU-132 (hRS7-SN38 Antibody Drug Conjugate) in Patients With Epithelial Cancer,Sacituzumab Govitecan-hziy,Unselected,"Primary efficacy endpoints, specifically Objective Response Rate (ORR) by Independent Central Review and Local Assessment, were reported for participants with Triple-Negative Breast Cancer (TNBC), HR+/HER2- Metastatic Breast Cancer (mBC), and Metastatic Urothelial Cancer (mUC). For the NSCLC population, no specific efficacy results for primary endpoints were reported in the provided data.",UNCERTAIN,"While NSCLC was an eligible cancer type, the efficacy results for the primary endpoints (Objective Response Rate) were only reported for TNBC, HR+/HER2- mBC, and mUC populations. No specific efficacy data for NSCLC patients was provided in the primary outcomes section."
NCT01639001,"PHASE 3, RANDOMIZED, OPEN-LABEL STUDY OF THE EFFICACY AND SAFETY OF CRIZOTINIB VERSUS PEMETREXED/CISPLATIN OR PEMETREXED/CARBOPLATIN IN PREVIOUSLY UNTREATED EAST ASIAN PATIENTS WITH NON-SQUAMOUS CARCINOMA OF THE LUNG HARBORING A TRANSLOCATION OR INVERSION EVENT INVOLVING THE ANAPLASTIC LYMPHOMA KINASE (ALK) GENE LOCUS",Crizotinib,ALK,"The primary endpoint, Progression-Free Survival (PFS) based on Independent Radiology Review (IRR), showed a significant improvement for crizotinib compared to chemotherapy. Median PFS was 11.1 months for crizotinib versus 6.8 months for chemotherapy, with a Hazard Ratio (HR) of 0.402 (95% CI: 0.286, 0.565; p < 0.0001) in favor of crizotinib.",POSITIVE,"The primary endpoint, Progression-Free Survival, met statistical significance with a p-value of <0.0001, which is well below the 0.05 threshold. The 95% Confidence Interval for the Hazard Ratio (0.286, 0.565) also does not cross 1.0, indicating a clear benefit for crizotinib."
NCT01642004,An Open-Label Randomized Phase III Trial of BMS-936558 (Nivolumab) Versus Docetaxel in Previously Treated Advanced or Metastatic Squamous Cell Non-small Cell Lung Cancer (NSCLC),Nivolumab,PD-L1,"Nivolumab significantly improved overall survival (OS) compared to docetaxel. The median OS was 9.23 months for Nivolumab (95% CI: 7.33, 13.27) versus 6.01 months for docetaxel (95% CI: 5.13, 7.33). The Hazard Ratio for OS was 0.59 (96.85% CI: 0.43, 0.81; p=0.0002), favoring Nivolumab.",POSITIVE,"The primary endpoint, Overall Survival (OS) time, showed a statistically significant improvement with Nivolumab compared to docetaxel (p=0.0002). The Hazard Ratio of 0.59 with a 96.85% Confidence Interval of 0.43 to 0.81, which does not cross 1.0, confirms the superior efficacy of Nivolumab."
NCT01642251,Phase I and Randomized Phase II Double Blind Clinical Trial of Cisplatin and Etoposide in Combination With Veliparib (ABT-888) or Placebo as Frontline Therapy for Extensive Stage Small Cell Lung Cancer,Veliparib,Unselected,"The primary endpoint, Progression Free Survival (PFS) in Phase II, showed a significant benefit for Veliparib in the male/abnormal LDH stratum (HR 0.34, 80% CI 0.22-0.51, p < 0.001). However, no significant benefit was observed in patients not in this stratum (HR 0.81, 80% CI 0.60-1.09, p = 0.18). A significant interaction between treatment and stratification factor was reported (p = 0.028).",MIXED,"The primary endpoint (PFS) showed statistically significant improvement in one pre-specified subgroup (male/abnormal LDH stratum) but not in another, with a significant treatment-by-subgroup interaction (p=0.028). This indicates a mixed outcome where the drug demonstrated efficacy only in a specific patient population."
NCT01649947,Modulation of Autophagy With Hydroxychloroquine in Patients With Advanced/Recurrent Non-small Cell Lung Cancer - a Phase II Study. A Study of The Cancer Institute of New Jersey Oncology Group (CINJOG),Hydroxychloroquine,Unselected,"The primary outcome, antitumor activity as measured by tumor response rate, was evaluated in two experimental cohorts. Cohort 2 (Hydroxychloroquine + Paclitaxel + Carboplatin) achieved a 55% response rate, while Cohort 1 (Hydroxychloroquine + Paclitaxel + Carboplatin + Bevacizumab) achieved a 27% response rate. A statistically significant difference in tumor response rates was observed between Cohort 2 and Cohort 1, with Cohort 2 demonstrating higher antitumor activity (mean difference 56%, 95% CI 8.9-72, p=0.01).",POSITIVE,"The primary endpoint, antitumor activity (tumor response rate), showed a statistically significant difference between the two experimental cohorts (p=0.01), with Cohort 2 showing superior response. The 95% confidence interval for the mean difference (8.9, 72) does not cross zero, indicating a statistically significant finding."
NCT01657799,"A Randomized, Double-Blind, Phase 2, Dose-Ranging Study to Evaluate the Safety and Efficacy of Veliparib and Whole Brain Radiation Therapy Versus Placebo and Whole Brain Radiation Therapy in Subjects With Brain Metastases From Non-Small Cell Lung Cancer",Veliparib,Unselected,"The primary endpoint, Overall Survival, did not show a statistically significant improvement for either Veliparib dose (50 mg BID or 200 mg BID) combined with WBRT compared to placebo plus WBRT. All p-values were well above 0.05 (e.g., 0.933 and 0.909 for Log Rank tests; 0.927 and 0.906 for Cox models), and the 95% confidence intervals for the hazard ratios crossed 1.0 for both comparisons (0.716-1.355 for 50mg, 0.710-1.354 for 200mg).",NEGATIVE,"The primary endpoint (Overall Survival) failed to demonstrate statistical significance, with all p-values > 0.05 and hazard ratio confidence intervals crossing 1.0 for both Veliparib arms compared to placebo."
NCT01658813,"Phase II Trial of Chemoimmunotherapy With 5-Fluorouracil Followed by Interferon-alfa-2b in Previously-treated Metastatic Gastrointestinal, Kidney, or Lung Cancer",5-Fluorouracil; Interferon-alfa-2b,Unselected,"No data was collected or reported for the primary endpoint, Progression Free Survival, or any secondary endpoints.",UNCERTAIN,"The trial explicitly states 'Data was not collected' and reports '0' participants for all primary and secondary outcome measures, indicating no efficacy results are available."
NCT01667562,"Phase IIIb, Open-Label Study of Erlotinib (Tarceva®) Treatment in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer Who Present Activating Mutations in the Tyrosine Kinase Domain of the Epidermal Growth Factor Receptor",Erlotinib,EGFR,"The primary endpoint, median Progression-Free Survival (PFS), was 9.574 months (95% CI: 5.525, 13.662) in patients treated with Erlotinib.",UNCERTAIN,This was a single-arm study and no p-value was reported for the primary endpoint. The 95% confidence interval for the median PFS value does not directly meet the criterion of 'CI crosses 1.0/0' which typically applies to relative measures like hazard ratios or odds ratios for determining statistical significance.
NCT01673867,An Open-Label Randomized Phase III Trial of BMS-936558 (Nivolumab) Versus Docetaxel in Previously Treated Metastatic Non-squamous Non-small Cell Lung Cancer (NSCLC),Nivolumab,PD-L1,"The primary endpoint, Overall Survival (OS), showed a statistically significant improvement for nivolumab (median OS 12.19 months, 95% CI: 9.66, 14.98) compared to docetaxel (median OS 9.36 months, 95% CI: 8.05, 10.68). The Hazard Ratio for nivolumab vs docetaxel was 0.73 (95.92% CI: 0.59, 0.89) with a p-value of 0.0015, indicating nivolumab significantly reduced the risk of death.",POSITIVE,"The primary endpoint, Overall Survival, met statistical significance (p=0.0015 < 0.05) and the 95% Confidence Interval for the Hazard Ratio (0.59, 0.89) did not cross 1.0, favoring nivolumab."
NCT01676714,Phase II Study of Dovitinib and Pilot Study of Fibroblast Growth Factor Receptor Biomarkers in Advanced Non-Small Cell Lung Cancer or Advanced Colorectal Cancer Previously Treated With Anti-Vascular Endothelial Growth Factor Therapy,Dovitinib,Unselected,"The primary endpoint was Overall Response Rate. In the Dovitinib arm, 1 out of 7 participants (approximately 14.3%) achieved an overall response.",UNCERTAIN,"The primary outcome reports the number of responders (1 out of 7) but does not provide a p-value for statistical significance or a confidence interval for the response rate against a predefined threshold. Therefore, it is not possible to determine if the primary endpoint met statistical significance (p < 0.05) as per the 'POSITIVE' criteria, nor if it definitively failed based on a p-value or CI crossing a relevant threshold."
NCT01685060,"A Phase II, Multicenter, Single-arm Study of Oral LDK378 in Adult Patients With ALK-activated Non-small Cell Lung Cancer Previously Treated With Chemotherapy and Crizotinib",LDK378; Ceritinib,ALK,"The primary endpoint, Overall Response Rate (ORR) per investigator assessment, was 40.7% (95% Confidence Interval: 32.5%, 49.3%) in patients treated with LDK378 (Ceritinib).",POSITIVE,"The primary endpoint, ORR, showed a clinically meaningful response rate of 40.7% in a single-arm trial for ALK-positive NSCLC patients previously treated with crizotinib. The 95% confidence interval (32.5-49.3%) does not include zero, indicating a statistically significant and positive treatment effect."
NCT01685138,"A Phase II, Multicenter, Single-arm Study of Oral LDK378 in Crizotinib naïve Adult Patients With ALK-activated Non-small Cell Lung Cancer",Ceritinib,ALK,"The primary endpoint, Overall Response Rate (ORR) by investigator assessment, was 67.7% (95% CI: 58.8% to 75.9%) in 124 ALK-positive, crizotinib-naive NSCLC patients treated with LDK378 (Ceritinib).",POSITIVE,"The single-arm Phase II study achieved a high Overall Response Rate (ORR) of 67.7%, with a 95% Confidence Interval (58.8% to 75.9%) that is clearly above thresholds for clinical significance in ALK-rearranged NSCLC, indicating a strong positive efficacy signal for Ceritinib in this patient population."
NCT01702844,"LCCC 1210 - Phase II, Multicenter, Single Arm Study of the Tolerability of Weekly Nab-paclitaxel as Second Line Treatment for Elderly Patients With Advanced Lung Cancer",Nab-Paclitaxel,EGFR; ALK; ROS1,"The primary outcome measured the tolerability of weekly nab-paclitaxel, specifically the number of subjects without any adverse events Grade 3 or higher. In the nab-paclitaxel arm, 28 out of 42 participants (66.7%) did not experience Grade 3 or higher toxicities. This study was a single-arm, Phase II study focused on tolerability.",UNCERTAIN,"The primary endpoint for this study was a measure of tolerability (number of subjects without Grade 3 or higher adverse events), not an efficacy endpoint (e.g., OS, PFS, ORR). Therefore, the provided criteria for determining efficacy status (p-value < 0.05 or CI crossing 1.0/0 for efficacy) cannot be applied to the primary outcome. No efficacy-related statistical significance for a primary endpoint is reported."
NCT01703091,"A Randomized, Double-Blind, Phase 2 Study of Docetaxel and Ramucirumab Versus Docetaxel and Placebo in the Treatment of Stage IV Non-Small Cell Lung Cancer Following Disease Progression After One Prior Platinum-Based Therapy",Ramucirumab,EGFR,"The primary endpoint, Progression-Free Survival (PFS), showed a median of 5.22 months (95% CI: 3.52, 6.97) for the Ramucirumab + Docetaxel arm, compared to 4.21 months (95% CI: 2.83, 5.62) for the Placebo + Docetaxel arm.",NEGATIVE,"The 95% confidence intervals for the median Progression-Free Survival (PFS) in the experimental (3.52-6.97 months) and control (2.83-5.62 months) arms show significant overlap, indicating that the primary endpoint did not meet statistical significance (p >= 0.05)."
NCT01708954,"A Randomized Phase II Trial of Erlotinib, Cabozantinib, or Erlotinib Plus Cabozantinib as 2nd or 3rd Line Therapy in Patients With EGFR Wild-Type NSCLC",Erlotinib Hydrochloride; Cabozantinib S-malate,EGFR; KRAS; BRAF; HER2; RET,"The primary endpoint, Progression-free Survival (PFS), showed a median of 1.8 months for Arm A (Erlotinib), 4.3 months for Arm B (Cabozantinib), and 4.7 months for Arm C (Erlotinib+Cabozantinib). Compared to Erlotinib monotherapy (Arm A), both Cabozantinib monotherapy (Arm B) and the combination therapy (Arm C) demonstrated improved PFS. The hazard ratio (HR) for Arm C vs Arm A was 0.37 (80% CI: 0.25-0.53), and for Arm B vs Arm A was 0.39 (80% CI: 0.27-0.55).",POSITIVE,"The primary endpoint (PFS) was met. Both experimental arms (Cabozantinib monotherapy and Erlotinib + Cabozantinib combination) showed significantly improved PFS compared to Erlotinib monotherapy. The Hazard Ratios for both comparisons were less than 1.0 (0.37 and 0.39 respectively), and their 80% Confidence Intervals (0.25-0.53 and 0.27-0.55 respectively) did not cross 1.0, indicating statistical significance."
NCT01721759,A Single-Arm Phase 2 Study of Nivolumab (BMS-936558) in Subjects With Advanced or Metastatic Squamous Cell Non-Small Cell Lung Cancer Who Have Received At Least Two Prior Systemic Regimens,Nivolumab,Unselected,"The primary endpoint of Objective Response Rate (ORR) as assessed by Independent Radiology Review Committee (IRC) was 14.5% (95% CI: 8.7, 22.2). The primary endpoint of Duration of Response (DOR) as assessed by IRC was a median of 12 months (95% CI: 6.7, 19.3). Both primary outcomes indicate clinical activity and durable responses in patients with advanced or metastatic squamous cell NSCLC.",POSITIVE,"This was a single-arm Phase 2 study. Both primary endpoints (ORR and DOR by IRC) demonstrated clinically meaningful activity, with confidence intervals indicating robust effects in a heavily pre-treated patient population, which is considered a positive signal for further development of a novel agent in this setting."
NCT01725165,A Randomized Phase II Study Assessing the Efficacy of Local Consolidative Therapy for Non-Small Cell Lung Cancer Patients With Induced Oligometastatic Disease,,EGFR; ALK,Median progression-free survival (PFS) was 14.2 months (95% CI: 7.4-23.1) in the immediate Local Consolidative Therapy (LCT) arm compared to 4.4 months (95% CI: 2.2-8.3) in the delayed/no LCT (standard maintenance therapy or observation) arm.,UNCERTAIN,"Although the median PFS in the LCT arm was substantially longer than in the control arm, no p-value for the primary endpoint or a Hazard Ratio with its confidence interval was reported, making it impossible to definitively determine statistical significance (p < 0.05) based on the provided criteria."
NCT01737502,A Phase I-II Trial of Combined PKCι and mTOR Inhibition for Patients With Advanced or Recurrent Lung Cancer (NSCLC and SCLC) Without Standard Treatment Options,Auranofin; Sirolimus,KRAS,"The primary safety outcomes reported 0 Dose Limiting Toxicities (DLTs) at both dose levels (3 participants each) and 2 Grade 3+ AEs at Dose Level 0 and 1 at Dose Level 1. The primary efficacy outcome, 4-month Progression-free Survival Rate, was 66.7% (95% CI: 9.4-99.2%) for Dose Level 0 (3 participants) and 28.0% (95% CI: 12.1-49.4%) for Dose Level 1 (26 participants). No p-values or comparative statistics were provided to assess statistical significance of the efficacy endpoint.",UNCERTAIN,"The primary efficacy endpoint (Progression-free Survival Rate) reports descriptive statistics (percentages and 95% confidence intervals) for each dose group but does not provide a p-value or a comparative confidence interval (e.g., for a hazard ratio) to determine if statistical significance (p < 0.05) was met. Therefore, the efficacy status cannot be definitively classified as POSITIVE or NEGATIVE according to the defined criteria."
NCT01750281,"A Phase II, Double-Blind, Randomised, Placebo-Controlled Study to Assess the Efficacy and Safety of Selumetinib (AZD6244; ARRY-142886) (Hyd-Sulfate) in Combination With Docetaxel, Compared With Placebo in Combination With Docetaxel, in Patients Receiving Second Line Treatment for Locally Advanced or Metastatic Non Small Cell Lung Cancer (Stage IIIB - IV)",Selumetinib; AZD6244; ARRY-142886,KRAS,"The primary endpoint, Progression-Free Survival (PFS), was not statistically significantly improved with selumetinib in combination with docetaxel compared to placebo in combination with docetaxel. For Selumetinib 75mg BD + Docetaxel 60mg/m^2 vs Placebo + Docetaxel 75mg/m^2, the HR was 1.12 (90% CI: 0.80, 1.61; p=0.584). For Selumetinib 75mg BD + Docetaxel 75mg/m^2 vs Placebo + Docetaxel 75mg/m^2, the HR was 0.92 (90% CI: 0.65, 1.31; p=0.690).",NEGATIVE,"The primary endpoint (PFS) did not meet statistical significance (p > 0.05) in either comparison of selumetinib + docetaxel versus placebo + docetaxel, and the confidence intervals for the hazard ratios crossed 1.0."
NCT01752400,"A Phase II Open-Label Trial of AUY922, an HSP90 Inhibitor, in Patients With ALK-Rearranged Advanced Non-Small Cell Lung Cancer and Acquired Resistance to Prior ALK Tyrosine Kinase Inhibition",AUY922,ALK,"The primary endpoint, Objective Response Rate, was 0% (0 out of 6 participants) for AUY922 in patients with ALK-rearranged advanced NSCLC and acquired resistance to prior ALK-TKI.",NEGATIVE,"The primary endpoint, Objective Response Rate, was not met, with 0% of participants achieving a complete or partial response. This indicates a lack of efficacy for the primary outcome."
NCT01753414,POSTILV: A RANDOMIZED PHASE II TRIAL IN PATIENTS WITH OPERABLE STAGE I NON-SMALL CELL LUNG CANCER: RADICAL RESECTION VERSUS ABLATIVE STEREOTACTIC RADIOTHERAPY - This is a Limited Participation Study.,,Unselected,"The primary endpoint, 2-year local-regional tumor control, was 95.2% (95% CI: 70.7-99.3) for the Surgery arm and 66.7% (95% CI: 42.5-82.5) for the Stereotactic Body Radiation Therapy (SBRT) arm. Surgery showed numerically higher local-regional control.",NEGATIVE,"This trial compared SBRT (experimental arm) against Surgery (control arm). The primary endpoint results for 2-year local-regional tumor control showed Surgery performing numerically better (95.2%) than SBRT (66.7%). The 95% confidence intervals for the two arms overlap (e.g., both include values around 70-80%), and no p-value for the comparison was reported. In the absence of a p-value or non-overlapping confidence intervals indicating statistical significance for comparable or superior efficacy of the experimental arm, and with numerically worse results for SBRT, the efficacy for the experimental SBRT arm is considered negative relative to surgery for this primary endpoint."
NCT01763645,"International Multicenter Randomized Double Blind Phase III Trial Comparing Safety and Efficacy of BCD-021 (CJSC BIOCAD, Russia) and Paclitaxel + Carboplatin to Avastin® (F. Hoffmann-La Roche Ltd, Switzerland) and Paclitaxel + Carboplatin in Inoperable or Advanced Non-squamous Non-small-cell Lung Cancer (NSCLC) Patients",BCD-021,Unselected,"This study compared the overall response rate (ORR) and pharmacokinetic profile (Area Under the Curve, AUC) of BCD-021 (a bevacizumab biosimilar) to Avastin (reference bevacizumab), both in combination with paclitaxel and carboplatin. The ORR was 34.63% for BCD-021 and 33.82% for Avastin. The median AUC after the first dose was 26,951,463 (ng/ml)*hour for BCD-021 and 23,970,112.875 (ng/ml)*hour for Avastin. No statistical comparison (p-value or confidence interval for the difference/ratio) between the groups for these primary outcomes was reported.",UNCERTAIN,"No p-values or confidence intervals for the statistical comparison between the experimental (BCD-021) and active comparator (Avastin) arms for the primary endpoints (Overall Response Rate and Area Under the Curve) are reported in the provided data. Therefore, it is impossible to determine if statistical significance or equivalence/non-inferiority criteria were met according to the defined rules."
NCT01763788,"An Open-Label, Multicenter, Phase 1b/2 Study to Evaluate Necitumumab in Combination With Gemcitabine and Cisplatin in the First-Line Treatment of Patients With Advanced (Stage IV) Squamous Non-Small Cell Lung Cancer (NSCLC)",Necitumumab,EGFR,"In Phase 2, the primary efficacy endpoint of Overall Survival (OS) showed a statistically significant improvement with Necitumumab in combination with Gemcitabine and Cisplatin (median OS 14.92 months, 95% CI: 13.37, 18.17) compared to Gemcitabine and Cisplatin alone (median OS 10.84 months, 95% CI: 8.90, 14.39). The stratified Hazard Ratio was 0.656 (95% CI: 0.465, 0.926). The Phase 1b primary endpoint evaluated Dose Limiting Toxicities, which were 0 in both cohorts, indicating an acceptable safety profile for dose escalation.",POSITIVE,"The primary efficacy endpoint, Overall Survival in Phase 2, demonstrated a statistically significant improvement with the addition of Necitumumab to chemotherapy (p=0.0161). The 95% Confidence Interval for the Hazard Ratio (0.656 [0.465, 0.926]) did not cross 1.0, indicating a positive outcome for the experimental arm."
NCT01769391,"A Randomized, Multicenter, Open-Label, Phase 2 Study of Paclitaxel-Carboplatin Chemotherapy Plus Necitumumab (IMC-11F8) Versus Paclitaxel-Carboplatin Chemotherapy Alone in the First-Line Treatment of Patients With Stage IV Squamous Non-Small Cell Lung Cancer (NSCLC)",Necitumumab,EGFR,"The primary endpoint was Objective Response Rate (ORR). The experimental arm (Necitumumab + Paclitaxel + Carboplatin) achieved an ORR of 48.9% (95% CI: 38.5-59.5%), while the control arm (Paclitaxel + Carboplatin) achieved an ORR of 40.0% (95% CI: 26.4-54.8%).",NEGATIVE,"Although the experimental arm showed a numerically higher ORR, the 95% confidence intervals for the two treatment arms largely overlap (38.5-59.5% vs 26.4-54.8%), indicating that the difference in ORR was not statistically significant. No p-value was reported, but the overlapping CIs suggest the primary endpoint did not meet significance."
NCT01773109,Phase 2 Study of Etirinotecan Pegol (NKTR-102) in the Treatment of Patients With Metastatic and Recurrent Non-Small Cell Lung Cancer (NSCLC) After Failure of 2nd Line Treatment,Etirinotecan pegol (NKTR-102),Unselected,"The primary endpoint, Overall Objective Response Rate (ORR), was observed at 5.4% (2 Partial Responses out of 37 participants). No Complete Responses were reported.",UNCERTAIN,"The trial reported an objective response rate of 5.4% but did not provide a p-value or statistical comparison against a predefined threshold for success, making it impossible to determine if the primary endpoint met significance according to the given criteria for POSITIVE/NEGATIVE."
NCT01774721,"ARCHER 1050: A RANDOMIZED, OPEN-LABEL, PHASE 3, EFFICACY AND SAFETY STUDY OF DACOMITINIB (PF-00299804) VERSUS GEFITINIB FOR THE FIRST LINE TREATMENT OF LOCALLY ADVANCED OR METASTATIC NON-SMALL CELL LUNG CANCER IN SUBJECTS WITH EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) ACTIVATING MUTATION(S)",Dacomitinib,EGFR,"Dacomitinib significantly improved Progression-Free Survival (PFS) based on independent central review (IRC) compared to gefitinib. The median PFS for dacomitinib was 14.7 months (95% CI: 11.1, 16.6) versus 9.2 months (95% CI: 9.1, 11.0) for gefitinib, with a Hazard Ratio of 0.589 (95% CI: 0.469, 0.739) and a p-value of <0.0001.",POSITIVE,"The primary endpoint, Progression-Free Survival (PFS), demonstrated a statistically significant improvement for Dacomitinib compared to Gefitinib (HR = 0.589, 95% CI: 0.469, 0.739; p < 0.0001). The p-value is less than 0.05 and the 95% confidence interval for the Hazard Ratio does not cross 1.0, indicating a positive outcome."
NCT01788566,"A Single-Arm, Multicenter, Open-Label, Phase 2 Study of Gemcitabine-Cisplatin Chemotherapy Plus Necitumumab (IMC-11F8) in the First-Line Treatment of Patients With Stage IV Squamous Non-Small Cell Lung Cancer (NSCLC)",Necitumumab,Unselected,"The primary outcome, Objective Tumor Response Rate (ORR), was 48.1% (95% CI: 34.34% - 62.16%).",UNCERTAIN,"The primary endpoint (ORR) showed a response rate of 48.1% with a 95% confidence interval of 34.34% to 62.16%, indicating clinical activity and not crossing the null (0%). However, as this is a single-arm Phase 2 study, no p-value for statistical significance (e.g., against a pre-specified null hypothesis or a comparative arm) is provided in the input data, thus preventing a definitive 'POSITIVE' or 'NEGATIVE' classification based on the strict p-value criteria of the prompt."
NCT01801111,"An Open-Label, Non-Randomized, Multicenter Phase I/II Trial of RO5424802 Given Orally to Non-Small Cell Lung Cancer Patients Who Have ALK Mutation and Who Have Failed Crizotinib Treatment",Alectinib,ALK,"Two primary endpoints, Recommended Phase 2 Dose (RP2D) and Percentage of Participants with Dose Limiting Toxicities (DLTs), were not analyzed as the RP2D was confirmed in a separate study. For the remaining primary endpoints on Objective Response Rate (ORR) as assessed by Independent Radiological Review Committee (IRC), Alectinib showed a 50.8% ORR (95% CI: 41.62-59.98) in the overall response-evaluable population with a p-value of 0.0005 (testing against a null hypothesis of 35%), indicating statistical significance. However, in the chemotherapy-pretreated subgroup, the ORR was 44.8% (95% CI: 34.63-55.29) with a p-value of 0.0599 (testing against a null hypothesis of 35%), which did not meet statistical significance (p < 0.05).",MIXED,"One primary efficacy endpoint (ORR in overall response-evaluable population) demonstrated statistical significance (p=0.0005), while another primary efficacy endpoint (ORR in chemotherapy-pretreated participants) did not meet statistical significance (p=0.0599). Two other primary endpoints were not analyzed."
NCT01802632,"Safety, Tolerability, Pharmacokinetics and Anti-tumour Activity of AZD9291 in Patients With Advanced Non Small Cell Lung Cancer Who Progressed on Prior Therapy With an Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitor Agent",AZD9291,EGFR; T790M,"The primary objective response rate (ORR) for the dose expansion population was 61.7% (95% CI: 54.1-68.9). For the 80mg AZD9291 extension population, the ORR was 61.3% (95% CI: 54.2-68.1).",POSITIVE,"Both primary endpoints, Objective Response Rate (ORR) for the Dose Expansion Population and the 80mg AZD9291 Extension Population, reported high ORRs (61.7% and 61.3% respectively) with 95% confidence intervals that are entirely above 0 (54.1-68.9 and 54.2-68.1), indicating a significant anti-tumor activity for AZD9291 in the specified patient population."
NCT01806675,Phase 1-2 18F-FPPRGD2 PET/CT or PET/MRI Imaging of αvβ3 Integrins Expression as a Biomarker of Angiogenesis,18F-FPPRGD2,Unselected,"The primary outcome measured the change from baseline in maximum standard uptake values (SUVmax) for both 18F-FPPRGD2 and 18F-FDG PET scans. For 18F-FPPRGD2, median changes were -0.98 for Glioblastoma Multiforme (n=8), 0.09 for Gynecological Cancers (n=4), and 0.10 for Renal Cell Cancer (n=3). For 18F-FDG, median changes were -1.90 for Gynecological Cancers (n=4) and 7.8 for Renal Cell Cancer (n=3). No statistical significance (e.g., p-values or confidence intervals) was reported for these changes across the different cancer types.",UNCERTAIN,"The primary endpoint provides descriptive statistics (median and standard deviation of SUVmax changes) for the radiotracers across various cancer types. However, no p-values or confidence intervals are reported, making it impossible to determine if the primary endpoint met statistical significance (p < 0.05)."
NCT01813734,"A Phase II, Open-Label Study of Ponatinib, A Multi-Targeted Oral Tyrosine Kinase Inhibitor, in Advanced Non-Small Cell Lung Cancer Harboring RET Translocations",Ponatinib,RET,"The primary outcome, Overall Response Rate (ORR), was 0% (0 out of 9 participants) in the Ponatinib treatment arm. No participants achieved a complete or partial response.",NEGATIVE,"The primary endpoint, Overall Response Rate, showed 0 responders (0/9 participants) in the experimental arm, indicating no significant clinical activity for this endpoint."
NCT01820754,Evaluation of Circulating T Cells and Tumor Infiltrating Lymphocytes With Specificities Against Tumor Associated Antigens During and After Neoadjuvant Chemotherapy and Phased Ipilimumab in Non-Small Cell Lung Cancer,Ipilimumab,Unselected,"The primary outcome was the percentage of subjects with detectable circulating T cells after treatment. In the Ipilimumab arm (n=24), 16.7% of patients had detectable circulating T cells, which was defined as a CD8, CD4, and double positive (DP) lymphocyte percentage of ≥ 0.05% with each value also being at least twice that of the background unstimulated control value. The population description notes that these 16.7% of patients also had responses at baseline.",UNCERTAIN,"The primary outcome reports an observed percentage (16.7%) but does not provide statistical significance (e.g., p-value) or a comparison to a predefined target for evaluating if the endpoint was met with significance. Without this information, the efficacy status cannot be determined as positive, negative, or mixed."
